vernacular,scientific,size,wingspan,order,family,map_url,image_url,audio_url
Oie à bec court,Anser brachyrhynchus,75 cm,135 à 170 cm.,Ansériformes,Anatidés,https://www.oiseaux.net/maps/images/oie.a.bec.court.200.w.jpg,"['https://www.oiseaux.net/photos/frederic.pelsy/images/id/oie.a.bec.court.frpe.1p.152.h.jpg', 'https://www.oiseaux.net/photos/sebastien.palud/images/id/oie.a.bec.court.sepa.1p.152.h.jpg', 'https://www.oiseaux.net/photos/ghislain.riou/images/id/oie.a.bec.court.ghri.3p.152.h.jpg', 'https://www.oiseaux.net/photos/michel.carre/images/oie.a.bec.court.mica.1p.152.h.jpg', 'https://www.oiseaux.net/photos/claude.daussin/images/oie.a.bec.court.clda.2p.152.h.jpg', 'https://www.oiseaux.net/photos/claude.daussin/images/oie.a.bec.court.clda.1p.152.h.jpg', 'https://www.oiseaux.net/photos/jean-michel.fenerole/images/oie.a.bec.court.jefe.1p.152.h.jpg', 'https://www.oiseaux.net/photos/nick.smith/images/oie.a.bec.court.nism.1p.152.h.jpg', 'https://www.oiseaux.net/photos/joel.chassin/images/oie.a.bec.court.joch.1p.152.h.jpg', 'https://www.oiseaux.net/photos/joel.chassin/images/oie.a.bec.court.joch.3p.152.h.jpg', 'https://www.oiseaux.net/photos/joel.chassin/images/oie.a.bec.court.joch.2p.152.h.jpg', 'https://www.oiseaux.net/photos/michel.carre/images/oie.a.bec.court.mica.2p.152.h.jpg', 'https://www.oiseaux.net/photos/nathalie.santa.maria/images/oie.a.bec.court.nasa.1p.152.h.jpg']",https://www.oiseaux.net/chant/stanislas.wroza/oie.a.bec.court.479237.mp3
Quiscale de Brewer,Euphagus cyanocephalus,21 à 23 cm,37 cm.,Passériformes,Ictéridés,https://www.oiseaux.net/maps/images/quiscale.de.brewer.200.w.jpg,"['https://www.oiseaux.net/photos/regine.le.courtois.nivart/images/quiscale.de.brewer.rlcn.14p.152.h.jpg', 'https://www.oiseaux.net/photos/jean-michel.fenerole/images/quiscale.de.brewer.jefe.5p.152.h.jpg', 'https://www.oiseaux.net/photos/jean-michel.fenerole/images/quiscale.de.brewer.jefe.4p.152.h.jpg', 'https://www.oiseaux.net/photos/jean-michel.fenerole/images/quiscale.de.brewer.jefe.3p.152.h.jpg', 'https://www.oiseaux.net/photos/jean-michel.fenerole/images/quiscale.de.brewer.jefe.2p.152.h.jpg', 'https://www.oiseaux.net/photos/jean-michel.fenerole/images/quiscale.de.brewer.jefe.1p.152.h.jpg', 'https://www.oiseaux.net/photos/catherine.et.bernard.lanneluc/images/quiscale.de.brewer.cala.1p.152.h.jpg', 'https://www.oiseaux.net/photos/regine.le.courtois.nivart/images/quiscale.de.brewer.rlcn.9p.152.h.jpg', 'https://www.oiseaux.net/photos/regine.le.courtois.nivart/images/quiscale.de.brewer.rlcn.10p.152.h.jpg', 'https://www.oiseaux.net/photos/regine.le.courtois.nivart/images/quiscale.de.brewer.rlcn.12p.152.h.jpg', 'https://www.oiseaux.net/photos/regine.le.courtois.nivart/images/quiscale.de.brewer.rlcn.11p.152.h.jpg', 'https://www.oiseaux.net/photos/sebastien.palud/images/quiscale.de.brewer.sepa.4p.152.h.jpg', 'https://www.oiseaux.net/photos/sebastien.palud/images/quiscale.de.brewer.sepa.3p.152.h.jpg', 'https://www.oiseaux.net/photos/patrick.ingremeau/images/quiscale.de.brewer.pain.3p.152.h.jpg', 'https://www.oiseaux.net/photos/gabriel.leboff/images/quiscale.de.brewer.gale.1p.152.h.jpg']",https://www.oiseaux.net/chant/manuel.grosselet/quiscale.de.brewer.350052.mp3
Effraie d'Australie,Tyto javanica,cm,-,Strigiformes,Tytonidés,,"['https://www.oiseaux.net/photos/lars.petersson/images/effraie.d.australie.lape.1p.152.h.jpg', 'https://www.oiseaux.net/photos/lars.petersson/images/effraie.d.australie.lape.2p.152.h.jpg']",
Érismature à tête blanche,Oxyura leucocephala,48 cm,62 à 70 cm.,Ansériformes,Anatidés,,"['https://www.oiseaux.net/photos/robert.hendrick/images/erismature.a.tete.blanche.rohe.1p.152.h.jpg', 'https://www.oiseaux.net/photos/robert.hendrick/images/erismature.a.tete.blanche.rohe.2p.152.h.jpg', 'https://www.oiseaux.net/photos/jean-claude.jamoulle/images/erismature.a.tete.blanche.jcja.2p.152.h.jpg', 'https://www.oiseaux.net/photos/vincent.perrin/images/erismature.a.tete.blanche.vipe.1p.152.h.jpg', 'https://www.oiseaux.net/photos/arnaud.delberghe/images/erismature.a.tete.blanche.adel.3p.152.h.jpg', 'https://www.oiseaux.net/photos/francois.granja/images/erismature.a.tete.blanche.frgr.4p.152.h.jpg', 'https://www.oiseaux.net/photos/francois.granja/images/erismature.a.tete.blanche.frgr.2p.152.h.jpg', 'https://www.oiseaux.net/photos/christophe.mercier/images/erismature.a.tete.blanche.chme.6p.152.h.jpg', 'https://www.oiseaux.net/photos/jean-claude.jamoulle/images/erismature.a.tete.blanche.jcja.5p.152.h.jpg', 'https://www.oiseaux.net/photos/jean-claude.jamoulle/images/erismature.a.tete.blanche.jcja.4p.152.h.jpg', 'https://www.oiseaux.net/photos/didier.collin/images/erismature.a.tete.blanche.dico.1p.152.h.jpg', 'https://www.oiseaux.net/photos/gerard.vigo/images/erismature.a.tete.blanche.gevi.1p.152.h.jpg', 'https://www.oiseaux.net/photos/frederic.pelsy/images/erismature.a.tete.blanche.frpe.1p.152.h.jpg']",https://www.oiseaux.net/chant/jean.roche/erismature.a.tete.blanche.1.mp3
Courlis hudsonien,Numenius hudsonicus,47 cm,79 à 90 cm.,Charadriiformes,Scolopacidés,,"['https://www.oiseaux.net/photos/loic.epelboin/images/courlis.hudsonien.loep.10p.152.h.jpg', 'https://www.oiseaux.net/photos/sylvain.uriot/images/courlis.hudsonien.syur.3p.152.h.jpg', 'https://www.oiseaux.net/photos/sylvain.uriot/images/courlis.hudsonien.syur.8p.152.h.jpg', 'https://www.oiseaux.net/photos/sylvain.uriot/images/courlis.hudsonien.syur.2p.152.h.jpg', 'https://www.oiseaux.net/photos/sylvain.uriot/images/courlis.hudsonien.syur.1p.152.h.jpg', 'https://www.oiseaux.net/photos/sylvain.uriot/images/courlis.hudsonien.syur.7p.152.h.jpg', 'https://www.oiseaux.net/photos/sylvain.uriot/images/courlis.hudsonien.syur.6p.152.h.jpg', 'https://www.oiseaux.net/photos/sylvain.uriot/images/courlis.hudsonien.syur.5p.152.h.jpg', 'https://www.oiseaux.net/photos/sylvain.uriot/images/courlis.hudsonien.syur.4p.152.h.jpg', 'https://www.oiseaux.net/photos/sylvain.uriot/images/courlis.hudsonien.syur.16p.152.h.jpg', 'https://www.oiseaux.net/photos/sylvain.uriot/images/courlis.hudsonien.syur.15p.152.h.jpg', 'https://www.oiseaux.net/photos/sylvain.uriot/images/courlis.hudsonien.syur.14p.152.h.jpg']",
Pie-grièche grise,Lanius excubitor,25 cm,30 à 34 cm.,Passériformes,Laniidés,,"['https://www.oiseaux.net/photos/rene.dumoulin/images/id/pie-grieche.grise.redu.8p.152.h.jpg', 'https://www.oiseaux.net/photos/lars.petersson/images/id/pie-grieche.grise.lape.3p.152.h.jpg', 'https://www.oiseaux.net/photos/lars.petersson/images/id/pie-grieche.grise.lape.5p.152.h.jpg', 'https://www.oiseaux.net/photos/michel.et.fabienne.vernaudon/images/id/pie-grieche.grise.mver.5p.152.h.jpg', 'https://www.oiseaux.net/photos/dominique.cavey/images/id/pie-grieche.grise.doca.1p.152.h.jpg', 'https://www.oiseaux.net/photos/robert.balestra/images/id/pie-grieche.grise.roba.2p.152.h.jpg', 'https://www.oiseaux.net/photos/jean-louis.corsin/images/id/pie-grieche.grise.jlco.1p.152.h.jpg', 'https://www.oiseaux.net/photos/herve.enoch/images/id/pie-grieche.grise.heen.1p.152.h.jpg', 'https://www.oiseaux.net/photos/gilles.touratier/images/id/pie-grieche.grise.gito.1p.152.h.jpg', 'https://www.oiseaux.net/photos/frederic.pelsy/images/id/pie-grieche.grise.frpe.1p.152.h.jpg', 'https://www.oiseaux.net/photos/lars.petersson/images/id/pie-grieche.grise.lape.2p.152.h.jpg', 'https://www.oiseaux.net/photos/samuel.marlin/images/id/pie-grieche.grise.sama.1p.152.h.jpg', 'https://www.oiseaux.net/photos/ghislain.riou/images/id/pie-grieche.grise.ghri.6p.152.h.jpg', 'https://www.oiseaux.net/photos/rene.dumoulin/images/id/pie-grieche.grise.redu.2p.152.h.jpg', 'https://www.oiseaux.net/photos/robert.balestra/images/id/pie-grieche.grise.roba.7p.152.h.jpg', 'https://www.oiseaux.net/photos/michel.et.fabienne.vernaudon/images/id/pie-grieche.grise.mver.4p.152.h.jpg', 'https://www.oiseaux.net/photos/michel.et.fabienne.vernaudon/images/id/pie-grieche.grise.mver.2p.152.h.jpg']",https://www.oiseaux.net/chant/jean.roche/pie-grieche.grise.1.mp3
Albatros à sourcils noirs,Thalassarche melanophris,93 cm,205 à 240 cm.,Procellariiformes,Diomédéidés,https://www.oiseaux.net/maps/images/albatros.a.sourcils.noirs.200.w.jpg,"['https://www.oiseaux.net/photos/robert.balestra/images/id/albatros.a.sourcils.noirs.roba.4p.152.h.jpg', 'https://www.oiseaux.net/photos/alexandre.knochel/images/id/albatros.a.sourcils.noirs.alkn.4p.152.h.jpg', 'https://www.oiseaux.net/photos/yann.libessart/images/id/albatros.a.sourcils.noirs.yali.9p.152.h.jpg', 'https://www.oiseaux.net/photos/daniel.pernet/images/id/albatros.a.sourcils.noirs.dape.4p.152.h.jpg', 'https://www.oiseaux.net/photos/adrien.cazin/images/albatros.a.sourcils.noirs.adca.1p.152.h.jpg', 'https://www.oiseaux.net/photos/adrien.cazin/images/albatros.a.sourcils.noirs.adca.2p.152.h.jpg', 'https://www.oiseaux.net/photos/adrien.cazin/images/albatros.a.sourcils.noirs.adca.3p.152.h.jpg', 'https://www.oiseaux.net/photos/adrien.cazin/images/albatros.a.sourcils.noirs.adca.4p.152.h.jpg', 'https://www.oiseaux.net/photos/frederic.baudat/images/albatros.a.sourcils.noirs.frba.3p.152.h.jpg', 'https://www.oiseaux.net/photos/cyril.vathelet/images/albatros.a.sourcils.noirs.cyva.2p.152.h.jpg', 'https://www.oiseaux.net/photos/stanislas.gallen/images/albatros.a.sourcils.noirs.stan.1p.152.h.jpg', 'https://www.oiseaux.net/photos/sylvain.uriot/images/albatros.a.sourcils.noirs.syur.1p.152.h.jpg', 'https://www.oiseaux.net/photos/sylvain.uriot/images/albatros.a.sourcils.noirs.syur.2p.152.h.jpg', 'https://www.oiseaux.net/photos/sylvain.uriot/images/albatros.a.sourcils.noirs.syur.3p.152.h.jpg', 'https://www.oiseaux.net/photos/sylvain.uriot/images/albatros.a.sourcils.noirs.syur.4p.152.h.jpg']",
Dickcissel d'Amérique,Spiza americana,16 cm,-,Passériformes,Cardinalidés,,"['https://www.oiseaux.net/photos/rene.lortie/images/id/dickcissel.d.amerique.relo.3p.152.h.jpg', 'https://www.oiseaux.net/photos/michel.giraud-audine/images/dickcissel.d.amerique.miga.1p.152.h.jpg', 'https://www.oiseaux.net/photos/denis.faure/images/dickcissel.d.amerique.defa.1p.152.h.jpg', 'https://www.oiseaux.net/photos/rene.lortie/images/dickcissel.d.amerique.relo.1p.152.h.jpg', 'https://www.oiseaux.net/photos/richard.parsemain/images/dickcissel.d.amerique.ripa.1p.152.h.jpg', 'https://www.oiseaux.net/photos/hans.spiecker/images/dickcissel.d.amerique.hasp.3p.152.h.jpg']",https://www.oiseaux.net/chant/manuel.grosselet/dickcissel.d.amerique.497891.mp3
Grive à dos olive,Catharus ustulatus,20 cm,29 à 31 cm.,Passériformes,Turdidés,https://www.oiseaux.net/maps/images/grive.a.dos.olive.200.w.jpg,"['https://www.oiseaux.net/photos/didier.collin/images/grive.a.dos.olive.dico.1p.152.h.jpg', 'https://www.oiseaux.net/photos/didier.collin/images/grive.a.dos.olive.dico.5p.152.h.jpg', 'https://www.oiseaux.net/photos/didier.collin/images/grive.a.dos.olive.dico.3p.152.h.jpg', 'https://www.oiseaux.net/photos/olivier.morlot/images/grive.a.dos.olive.olmo.1p.152.h.jpg', 'https://www.oiseaux.net/photos/stephane.merle/images/grive.a.dos.olive.stme.3p.152.h.jpg', 'https://www.oiseaux.net/photos/ricketdi/images/grive.a.dos.olive.fori.1p.152.h.jpg', 'https://www.oiseaux.net/photos/stanislas.gallen/images/grive.a.dos.olive.stan.1p.152.h.jpg', 'https://www.oiseaux.net/photos/sylvain.uriot/images/grive.a.dos.olive.syur.8p.152.h.jpg', 'https://www.oiseaux.net/photos/sylvain.uriot/images/grive.a.dos.olive.syur.7p.152.h.jpg', 'https://www.oiseaux.net/photos/sylvain.uriot/images/grive.a.dos.olive.syur.6p.152.h.jpg', 'https://www.oiseaux.net/photos/sylvain.uriot/images/grive.a.dos.olive.syur.3p.152.h.jpg', 'https://www.oiseaux.net/photos/sylvain.uriot/images/grive.a.dos.olive.syur.2p.152.h.jpg', 'https://www.oiseaux.net/photos/sylvain.uriot/images/grive.a.dos.olive.syur.1p.152.h.jpg', 'https://www.oiseaux.net/photos/stephane.merle/images/grive.a.dos.olive.stme.1p.152.h.jpg', 'https://www.oiseaux.net/photos/stephane.merle/images/grive.a.dos.olive.stme.2p.152.h.jpg']",https://www.oiseaux.net/chant/manuel.grosselet/grive.a.dos.olive.615827.mp3
Drongo cendré,Dicrurus leucophaeus,29 cm,-,Passériformes,Dicruridés,,"['https://www.oiseaux.net/photos/loic.epelboin/images/drongo.cendre.loep.2p.152.h.jpg', 'https://www.oiseaux.net/photos/didier.buysse/images/drongo.cendre.dibu.1p.152.h.jpg', 'https://www.oiseaux.net/photos/jean-michel.fenerole/images/drongo.cendre.jefe.1p.152.h.jpg', 'https://www.oiseaux.net/photos/arnaud.delberghe/images/drongo.cendre.adel.2p.152.h.jpg', 'https://www.oiseaux.net/photos/arnaud.delberghe/images/drongo.cendre.adel.1p.152.h.jpg', 'https://www.oiseaux.net/photos/gabriel.leboff/images/drongo.cendre.gale.1p.152.h.jpg', 'https://www.oiseaux.net/photos/frederic.pelsy/images/drongo.cendre.frpe.1p.152.h.jpg', 'https://www.oiseaux.net/photos/robert.balestra/images/drongo.cendre.roba.1p.152.h.jpg', 'https://www.oiseaux.net/photos/robert.balestra/images/drongo.cendre.roba.2p.152.h.jpg', 'https://www.oiseaux.net/photos/paul.van.giersbergen/images/drongo.cendre.pava.4p.152.h.jpg', 'https://www.oiseaux.net/photos/paul.van.giersbergen/images/drongo.cendre.pava.3p.152.h.jpg', 'https://www.oiseaux.net/photos/paul.van.giersbergen/images/drongo.cendre.pava.1p.152.h.jpg', 'https://www.oiseaux.net/photos/thierry.becret/images/drongo.cendre.thbe.3p.152.h.jpg', 'https://www.oiseaux.net/photos/thierry.becret/images/drongo.cendre.thbe.1p.152.h.jpg', 'https://www.oiseaux.net/photos/paul.van.giersbergen/images/drongo.cendre.pava.2p.152.h.jpg', 'https://www.oiseaux.net/photos/lars.petersson/images/drongo.cendre.lape.1p.152.h.jpg']",https://www.oiseaux.net/chant/bruno.durand/drongo.cendre.284493.mp3
Cigogne blanche,Ciconia ciconia,102 cm,155 à 165 cm.,Ciconiiformes,Ciconiidés,https://www.oiseaux.net/maps/images/cigogne.blanche.200.w.jpg,"['https://www.oiseaux.net/photos/rene.dumoulin/images/id/cigogne.blanche.redu.5p.152.h.jpg', 'https://www.oiseaux.net/photos/jean-michel.fenerole/images/id/cigogne.blanche.jefe.4p.152.h.jpg', 'https://www.oiseaux.net/photos/jean-michel.fenerole/images/id/cigogne.blanche.jefe.3p.152.h.jpg', 'https://www.oiseaux.net/photos/herve.enoch/images/id/cigogne.blanche.heen.26p.152.h.jpg', 'https://www.oiseaux.net/photos/yves.thonnerieux/images/id/cigogne.blanche.yvth.1p.152.h.jpg', 'https://www.oiseaux.net/photos/nathalie.santa.maria/images/id/cigogne.blanche.nasa.7p.152.h.jpg', 'https://www.oiseaux.net/photos/jean-michel.fenerole/images/id/cigogne.blanche.jefe.5p.152.h.jpg', 'https://www.oiseaux.net/photos/rene.dumoulin/images/id/cigogne.blanche.redu.3p.152.h.jpg', 'https://www.oiseaux.net/photos/richard.striebel/images/id/cigogne.blanche.rist.5p.152.h.jpg', 'https://www.oiseaux.net/photos/yann.cambon/images/id/cigogne.blanche.yaca.1p.152.h.jpg', 'https://www.oiseaux.net/photos/alain.chappuis/images/id/cigogne.blanche.alch.2p.152.h.jpg', 'https://www.oiseaux.net/photos/alain.chappuis/images/id/cigogne.blanche.alch.1p.152.h.jpg', 'https://www.oiseaux.net/photos/herve.enoch/images/id/cigogne.blanche.heen.14p.152.h.jpg', 'https://www.oiseaux.net/photos/pascal.bernardin/images/id/cigogne.blanche.pber.2p.152.h.jpg', 'https://www.oiseaux.net/photos/didier.collin/images/cigogne.blanche.dico.9p.152.h.jpg', 'https://www.oiseaux.net/photos/robert.hendrick/images/cigogne.blanche.rohe.8p.152.h.jpg']",https://www.oiseaux.net/chant/fernand.deroussen/cigogne.blanche.135575.mp3
Hirondelle rustique,Hirundo rustica,18 cm,32 à 34 cm.,Passériformes,Hirundinidés,https://www.oiseaux.net/maps/images/hirondelle.rustique.200.w.jpg,"['https://www.oiseaux.net/photos/jacques.riviere/images/id/hirondelle.rustique.jari.10p.152.h.jpg', 'https://www.oiseaux.net/photos/rene.dumoulin/images/id/hirondelle.rustique.redu.3p.152.h.jpg', 'https://www.oiseaux.net/photos/rene.dumoulin/images/id/hirondelle.rustique.redu.24p.152.h.jpg', 'https://www.oiseaux.net/photos/jean-marie.poncelet/images/id/hirondelle.rustique.jmpo.23p.152.h.jpg', 'https://www.oiseaux.net/photos/aurelien.audevard/images/id/hirondelle.rustique.auau.8p.152.h.jpg', 'https://www.oiseaux.net/photos/didier.collin/images/hirondelle.rustique.dico.9p.152.h.jpg', 'https://www.oiseaux.net/photos/didier.collin/images/hirondelle.rustique.dico.8p.152.h.jpg', 'https://www.oiseaux.net/photos/didier.collin/images/hirondelle.rustique.dico.6p.152.h.jpg', 'https://www.oiseaux.net/photos/didier.collin/images/hirondelle.rustique.dico.5p.152.h.jpg', 'https://www.oiseaux.net/photos/didier.collin/images/hirondelle.rustique.dico.4p.152.h.jpg', 'https://www.oiseaux.net/photos/didier.collin/images/hirondelle.rustique.dico.14p.152.h.jpg', 'https://www.oiseaux.net/photos/didier.collin/images/hirondelle.rustique.dico.15p.152.h.jpg', 'https://www.oiseaux.net/photos/didier.collin/images/hirondelle.rustique.dico.19p.152.h.jpg', 'https://www.oiseaux.net/photos/julien.daubignard/images/hirondelle.rustique.juda.10p.152.h.jpg', 'https://www.oiseaux.net/photos/julien.daubignard/images/hirondelle.rustique.juda.2p.152.h.jpg', 'https://www.oiseaux.net/photos/didier.collin/images/hirondelle.rustique.dico.24p.152.h.jpg', 'https://www.oiseaux.net/photos/didier.collin/images/hirondelle.rustique.dico.23p.152.h.jpg']",https://www.oiseaux.net/chant/jean.roche/hirondelle.rustique.1.mp3
Mouette blanche,Pagophila eburnea,48 cm,106 à 118 cm.,Charadriiformes,Laridés,,"['https://www.oiseaux.net/photos/marc.fasol/images/id/mouette.blanche.mafa.8p.152.h.jpg', 'https://www.oiseaux.net/photos/marc.fasol/images/id/mouette.blanche.mafa.2p.152.h.jpg', 'https://www.oiseaux.net/photos/daniel.pernet/images/id/mouette.blanche.dape.3p.152.h.jpg', 'https://www.oiseaux.net/photos/marc.fasol/images/id/mouette.blanche.mafa.15p.152.h.jpg', 'https://www.oiseaux.net/photos/didier.buysse/images/id/mouette.blanche.dibu.5p.152.h.jpg', 'https://www.oiseaux.net/photos/aurelien.audevard/images/id/mouette.blanche.auau.4p.152.h.jpg', 'https://www.oiseaux.net/photos/marc.fasol/images/mouette.blanche.mafa.1p.152.h.jpg', 'https://www.oiseaux.net/photos/marc.fasol/images/mouette.blanche.mafa.3p.152.h.jpg', 'https://www.oiseaux.net/photos/marc.fasol/images/mouette.blanche.mafa.4p.152.h.jpg', 'https://www.oiseaux.net/photos/marc.fasol/images/mouette.blanche.mafa.6p.152.h.jpg', 'https://www.oiseaux.net/photos/marc.fasol/images/mouette.blanche.mafa.7p.152.h.jpg', 'https://www.oiseaux.net/photos/marc.fasol/images/mouette.blanche.mafa.10p.152.h.jpg', 'https://www.oiseaux.net/photos/marc.fasol/images/mouette.blanche.mafa.12p.152.h.jpg', 'https://www.oiseaux.net/photos/marc.fasol/images/mouette.blanche.mafa.13p.152.h.jpg']",
Oie empereur,Anser canagicus,89 cm,119 cm.,Ansériformes,Anatidés,,"['https://www.oiseaux.net/photos/regine.le.courtois.nivart/images/oie.empereur.rlcn.1p.152.h.jpg', 'https://www.oiseaux.net/photos/jacques.buvat/images/oie.empereur.jabu.1p.152.h.jpg', 'https://www.oiseaux.net/photos/regine.le.courtois.nivart/images/oie.empereur.rlcn.2p.152.h.jpg', 'https://www.oiseaux.net/photos/arnaud.delberghe/images/oie.empereur.adel.4p.152.h.jpg', 'https://www.oiseaux.net/photos/arnaud.delberghe/images/oie.empereur.adel.3p.152.h.jpg', 'https://www.oiseaux.net/photos/arnaud.delberghe/images/oie.empereur.adel.2p.152.h.jpg', 'https://www.oiseaux.net/photos/arnaud.delberghe/images/oie.empereur.adel.1p.152.h.jpg', 'https://www.oiseaux.net/photos/alain.renaud-studer/images/oie.empereur.alrs.2p.152.h.jpg']",
Perruche à collier,Psittacula krameri,43 cm,42 à 48 cm.,Psittaciformes,Psittaculidés,https://www.oiseaux.net/maps/images/perruche.a.collier.200.w.jpg,"['https://www.oiseaux.net/photos/andrea.moneti/images/perruche.a.collier.anmo.1p.152.h.jpg', 'https://www.oiseaux.net/photos/adrien.cazin/images/perruche.a.collier.adca.11p.152.h.jpg', 'https://www.oiseaux.net/photos/adrien.cazin/images/perruche.a.collier.adca.13p.152.h.jpg', 'https://www.oiseaux.net/photos/adrien.cazin/images/perruche.a.collier.adca.12p.152.h.jpg', 'https://www.oiseaux.net/photos/dominique.goumand/images/perruche.a.collier.dogo.2p.152.h.jpg', 'https://www.oiseaux.net/photos/nathalie.santa.maria/images/perruche.a.collier.nasa.1p.152.h.jpg', 'https://www.oiseaux.net/photos/nathalie.santa.maria/images/perruche.a.collier.nasa.2p.152.h.jpg', 'https://www.oiseaux.net/photos/nathalie.santa.maria/images/perruche.a.collier.nasa.3p.152.h.jpg', 'https://www.oiseaux.net/photos/nathalie.santa.maria/images/perruche.a.collier.nasa.4p.152.h.jpg', 'https://www.oiseaux.net/photos/didier.collin/images/perruche.a.collier.dico.4p.152.h.jpg', 'https://www.oiseaux.net/photos/didier.collin/images/perruche.a.collier.dico.5p.152.h.jpg', 'https://www.oiseaux.net/photos/stanislas.gallen/images/perruche.a.collier.stan.6p.152.h.jpg', 'https://www.oiseaux.net/photos/didier.collin/images/perruche.a.collier.dico.1p.152.h.jpg', 'https://www.oiseaux.net/photos/antoine.coulondre/images/perruche.a.collier.anco.3p.152.h.jpg', 'https://www.oiseaux.net/photos/antoine.coulondre/images/perruche.a.collier.anco.2p.152.h.jpg', 'https://www.oiseaux.net/photos/dan.stefanescu/images/perruche.a.collier.dast.2p.152.h.jpg', 'https://www.oiseaux.net/photos/adrien.cazin/images/perruche.a.collier.adca.4p.152.h.jpg', 'https://www.oiseaux.net/photos/adrien.cazin/images/perruche.a.collier.adca.5p.152.h.jpg']",https://www.oiseaux.net/chant/fernand.deroussen/perruche.a.collier.528250.mp3
Alouette de Heine,Alaudala heinei,cm,-,Passériformes,Alaudidés,,"['https://www.oiseaux.net/photos/herve.michel/images/alouette.de.heine.hemi.2p.152.h.jpg', 'https://www.oiseaux.net/photos/titouan.roguet/images/alouette.de.heine.tiro.1p.152.h.jpg', 'https://www.oiseaux.net/photos/catherine.et.bernard.lanneluc/images/alouette.de.heine.cala.19p.152.h.jpg']",
Tourterelle à queue carrée,Zenaida aurita,31 cm,46 cm.,Columbiformes,Columbidés,,"['https://www.oiseaux.net/photos/regine.le.courtois.nivart/images/id/tourterelle.a.queue.carree.rlcn.7p.152.h.jpg', 'https://www.oiseaux.net/photos/jean-michel.fenerole/images/tourterelle.a.queue.carree.jefe.1p.152.h.jpg', 'https://www.oiseaux.net/photos/xavier.michel/images/tourterelle.a.queue.carree.xami.1p.152.h.jpg', 'https://www.oiseaux.net/photos/regine.le.courtois.nivart/images/tourterelle.a.queue.carree.rlcn.2p.152.h.jpg', 'https://www.oiseaux.net/photos/regine.le.courtois.nivart/images/tourterelle.a.queue.carree.rlcn.3p.152.h.jpg', 'https://www.oiseaux.net/photos/jean-claude.jamoulle/images/tourterelle.a.queue.carree.jcja.6p.152.h.jpg', 'https://www.oiseaux.net/photos/regine.le.courtois.nivart/images/tourterelle.a.queue.carree.rlcn.10p.152.h.jpg', 'https://www.oiseaux.net/photos/jean-claude.jamoulle/images/tourterelle.a.queue.carree.jcja.12p.152.h.jpg', 'https://www.oiseaux.net/photos/loic.epelboin/images/tourterelle.a.queue.carree.loep.6p.152.h.jpg', 'https://www.oiseaux.net/photos/sylvain.uriot/images/tourterelle.a.queue.carree.syur.1p.152.h.jpg', 'https://www.oiseaux.net/photos/jean-michel.fenerole/images/tourterelle.a.queue.carree.jefe.2p.152.h.jpg', 'https://www.oiseaux.net/photos/jean-michel.fenerole/images/tourterelle.a.queue.carree.jefe.7p.152.h.jpg', 'https://www.oiseaux.net/photos/jean-michel.fenerole/images/tourterelle.a.queue.carree.jefe.6p.152.h.jpg']",
Caille des blés,Coturnix coturnix,20 cm,32 à 35 cm.,Galliformes,Phasianidés,https://www.oiseaux.net/maps/images/caille.des.bles.200.w.jpg,"['https://www.oiseaux.net/photos/stephane.beillard/images/id/caille.des.bles.stbe.3p.152.h.jpg', 'https://www.oiseaux.net/photos/vincent.palomares/images/id/caille.des.bles.vipa.2p.152.h.jpg', 'https://www.oiseaux.net/photos/didier.collin/images/caille.des.bles.dico.3p.152.h.jpg', 'https://www.oiseaux.net/photos/didier.collin/images/caille.des.bles.dico.2p.152.h.jpg', 'https://www.oiseaux.net/photos/didier.collin/images/caille.des.bles.dico.1p.152.h.jpg', 'https://www.oiseaux.net/photos/jean-michel.fenerole/images/caille.des.bles.jefe.1p.152.h.jpg', 'https://www.oiseaux.net/photos/gilbert.blaising/images/caille.des.bles.gibl.2p.152.h.jpg', 'https://www.oiseaux.net/photos/gilbert.blaising/images/caille.des.bles.gibl.3p.152.h.jpg', 'https://www.oiseaux.net/photos/gilbert.blaising/images/caille.des.bles.gibl.5p.152.h.jpg', 'https://www.oiseaux.net/photos/gilbert.blaising/images/caille.des.bles.gibl.6p.152.h.jpg', 'https://www.oiseaux.net/photos/gilbert.blaising/images/caille.des.bles.gibl.4p.152.h.jpg', 'https://www.oiseaux.net/photos/gerard.rolin/images/caille.des.bles.gero.1p.152.h.jpg', 'https://www.oiseaux.net/photos/gerard.rolin/images/caille.des.bles.gero.3p.152.h.jpg', 'https://www.oiseaux.net/photos/gerard.rolin/images/caille.des.bles.gero.4p.152.h.jpg', 'https://www.oiseaux.net/photos/marc.fasol/images/caille.des.bles.mafa.2p.152.h.jpg', 'https://www.oiseaux.net/photos/marc.fasol/images/caille.des.bles.mafa.4p.152.h.jpg', 'https://www.oiseaux.net/photos/marc.fasol/images/caille.des.bles.mafa.5p.152.h.jpg']",https://www.oiseaux.net/chant/jean.roche/caille.des.bles.1.mp3
